cod,denumire,um,tva,den_tip,stoc,grupa,pret_vanz,pret_v_tva,is_valuta,cod_bare,cod_fe,cod_cpv,plu,tip,pret_vanz2,pret_v_tv2,blocat,brut,cant_min,text_supl,garantie,greutate,ok,is_lot,cod_cer,categorie,cod_sgr,volum,tip_a,tara_orig,greutate_b
"00000040","APARAT DE FACUT CAFEA MAKITA DCM501Z","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000041","MASINA DE INSURUBAT CU IMPACT MAKITA DTW285Z","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000042","ACUMULATOR MAKITA 632F15-1","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000043","ACUMULATOR MAKITA 630718-5","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000044","POLIZOR UNGHIULAR MAKITA DGA504RTE","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000045","SAMSUNG SMART TV ULTRA HD 4K 138 CM","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000046","GEACA COOL TREND  AE","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000047","GEACA COOL TREND AE 58","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000048","PANTALONI COOL TREND 48","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000049","PANTALONI CLASIC AE/NGR/58","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
